"INC NUMBER","OCCURRED ON","OCCURRED TO","UCR CRIME CATEGORY","100 BLOCK ADDR","ZIP","PREMISE TYPE"
"201500002101405",11/01/2015  00:00,11/01/2015  05:00,"MOTOR VEHICLE THEFT","102XX W MEDLOCK AVE","85307","SINGLE FAMILY HOUSE"
"201500002102668",11/01/2015  00:00,11/01/2015  11:50,"MOTOR VEHICLE THEFT","69XX W WOOD ST","85043","SINGLE FAMILY HOUSE"
"201600000052855",11/01/2015  00:00,01/09/2016  00:00,"MOTOR VEHICLE THEFT","N 43RD AVE & W CACTUS RD","85029","SINGLE FAMILY HOUSE"
"201500002168686",11/01/2015  00:00,11/11/2015  09:30,"LARCENY-THEFT","14XX E HIGHLAND AVE","85014","PARKING LOT"
"201700001722914",11/01/2015  00:00,,"LARCENY-THEFT","279XX N 23RD LN","85085","SINGLE FAMILY HOUSE"
"201700001603695",11/01/2015  00:00,03/31/2016  00:00,"RAPE","38XX W CAMELBACK RD","85019","HOSPITAL"
"201500002102327",11/01/2015  00:00,11/01/2015  09:00,"LARCENY-THEFT","51XX N 15TH ST","85014","APARTMENT"
"201600000594484",11/01/2015  00:00,,"RAPE","13XX E ALMERIA RD","85006","SINGLE FAMILY HOUSE"
"201500002103724",11/01/2015  00:00,11/01/2015  15:21,"DRUG OFFENSE","54XX W INDIAN SCHOOL RD","85031","APARTMENT"
"201600000527709",11/01/2015  00:00,03/22/2016  00:36,"LARCENY-THEFT","33XX W CAMELBACK RD","85017","PARKING LOT"
"201500002102481",11/01/2015  00:01,,"LARCENY-THEFT","88XX N BLACK CANYON FWY","85051","HOTEL / MOTEL"
"201600000090387",11/01/2015  00:01,12/31/2015  23:59,"LARCENY-THEFT","196XX N 6TH PL","85024","SINGLE FAMILY HOUSE"
"201500002334281",11/01/2015  00:01,11/30/2015  00:00,"MOTOR VEHICLE THEFT","17XX W DESERT COVE AVE","85029","PARKING LOT"
"201600002077992",11/01/2015  00:01,06/01/2016  00:01,"LARCENY-THEFT","25XX W AUGUSTA AVE","85051","PARKING LOT"
"201500002147335",11/01/2015  00:01,11/07/2015  22:00,"LARCENY-THEFT","110XX N 35TH AVE","85029","VEHICLE"
"201600000042041",11/01/2015  00:01,01/07/2016  12:00,"MOTOR VEHICLE THEFT","48XX E DESERT COVE AVE","85254","CONDO / TOWNHOUSE"
"201500002102467",11/01/2015  00:01,11/01/2015  11:15,"LARCENY-THEFT","65XX N 17TH AVE","85015","VEHICLE"
"201600000623876",11/01/2015  00:01,03/27/2016  08:00,"LARCENY-THEFT","202XX N 6TH DR","85027","SINGLE FAMILY HOUSE"
"201500002371588",11/01/2015  00:01,11/18/2015  00:01,"LARCENY-THEFT","35XX E PINCHOT AVE","85018","HOSPITAL"
"201500002102534",11/01/2015  00:01,11/01/2015  03:55,"BURGLARY","38XX W HOLLY ST","85009","SINGLE FAMILY HOUSE"
"201600000223791",11/01/2015  00:01,01/30/2016  23:59,"BURGLARY","40XX E MCDOWELL RD","85008","07A STOREROOM/SHED (COMMERCIAL)"
"201500002326780",11/01/2015  00:01,12/06/2015  09:45,"BURGLARY","6XX W BEVERLY LN","85023","SINGLE FAMILY HOUSE"
"201600000575804",11/01/2015  00:01,03/28/2016  17:20,"LARCENY-THEFT","46XX W FREMONT RD","85339","SINGLE FAMILY HOUSE"
"201500002391368",11/01/2015  00:01,12/16/2015  14:30,"LARCENY-THEFT","43XX E CORTEZ ST","85028","SINGLE FAMILY HOUSE"
"201500002100158",11/01/2015  00:05,,"MOTOR VEHICLE THEFT","28XX W CAMELBACK RD","85017","CONVENIENCE MARKET / STORE"
"201500002101675",11/01/2015  00:30,11/01/2015  07:00,"LARCENY-THEFT","42XX E WESTERN STAR BLVD","85044","DRIVEWAY"
"201500002103050",11/01/2015  01:00,11/01/2015  13:00,"LARCENY-THEFT","46XX W MCDOWELL RD","85035","VEHICLE"
"201500002103663",11/01/2015  01:00,11/01/2015  09:30,"LARCENY-THEFT","21XX W DARREL RD","85041","SINGLE FAMILY HOUSE"
"201500002119698",11/01/2015  01:30,11/01/2015  01:30,"LARCENY-THEFT","71XX N 33RD AVE","85051","SINGLE FAMILY HOUSE"
"201500002101758",11/01/2015  01:45,11/01/2015  08:45,"MOTOR VEHICLE THEFT","2XX W FILLMORE ST","85003","PARKING LOT"
"201500002105677",11/01/2015  02:00,11/01/2015  12:00,"AGGRAVATED ASSAULT","41XX N 51ST AVE","85031","RESTAURANT"
"201500002101185",11/01/2015  02:00,11/01/2015  02:10,"MOTOR VEHICLE THEFT","35XX E AMBERWOOD DR","85048","SINGLE FAMILY HOUSE"
"201510000015577",11/01/2015  02:00,11/01/2015  06:00,"AGGRAVATED ASSAULT","50XX E THOMAS RD","85018","RESTAURANT"
"201500002103448",11/01/2015  02:00,11/01/2015  14:20,"MOTOR VEHICLE THEFT","85XX W MIAMI ST","85353","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002100875",11/01/2015  02:38,11/01/2015  03:05,"BURGLARY","9XX E INDIAN SCHOOL RD","85014","FAST FOOD STORE"
"201500002117393",11/01/2015  03:00,11/01/2015  18:00,"MOTOR VEHICLE THEFT","17XX E MCLELLAN BLVD","85016","SINGLE FAMILY HOUSE"
"201500002102927",11/01/2015  04:00,11/01/2015  10:00,"LARCENY-THEFT","176XX N 7TH ST","85022","APARTMENT"
"201500002133436",11/01/2015  04:00,11/01/2015  04:05,"RAPE","76XX W WHITTON AVE","85033","SINGLE FAMILY HOUSE"
"201500002101067",11/01/2015  04:12,11/01/2015  04:12,"MURDER AND NON-NEGLIGENT MANSLAUGHTER","XX N 67TH AVE","85043","FENCED COMMERCIAL YARD"
"201500002101137",11/01/2015  04:14,,"ROBBERY","138XX S 44TH ST","85044","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002101134",11/01/2015  04:25,,"BURGLARY","22XX E BROADWAY RD","85040","RESTAURANT"
"201500002126247",11/01/2015  05:00,11/02/2015  16:00,"BURGLARY","17XX W DESERT COVE AVE","85029","APARTMENT"
"201500002101284",11/01/2015  05:38,11/01/2015  09:35,"MOTOR VEHICLE THEFT","87XX S 47TH LN","85339","STREET / ROADWAY / ALLEY / SIDEWALK"
"201500002277994",11/01/2015  06:00,11/28/2015  11:38,"BURGLARY","27XX W NORTHERN AVE","85051","07A STOREROOM/SHED (COMMERCIAL)"
"201600000127791",11/01/2015  06:00,01/19/2016  16:00,"LARCENY-THEFT","21XX E VIRGINIA AVE","85006","SCHOOL-ELEMENTARY/SECONDARY"
"201500002101372",11/01/2015  06:10,11/01/2015  06:22,"AGGRAVATED ASSAULT","42XX N 12TH ST","85014","PARKING LOT"
"201500002104197",11/01/2015  06:53,,"BURGLARY","30XX W PARKSIDE LN","85027","SINGLE FAMILY HOUSE"
"201500002101524",11/01/2015  07:29,,"LARCENY-THEFT","18XX W BELL RD","85023","GROCERY / SUPER MARKET"
"201500002101564",11/01/2015  07:40,,"LARCENY-THEFT","34XX W DUNLAP AVE","85051","RETAIL BUSINESS"
"201500002102369",11/01/2015  07:50,11/01/2015  11:00,"LARCENY-THEFT","34XX N 23RD AVE","85015","SINGLE FAMILY HOUSE"
"201600000034740",11/01/2015  08:00,12/31/2015  08:00,"MOTOR VEHICLE THEFT","25XX W AUGUSTA AVE","85051","FENCED RESIDENTIAL YARD"
"201500002302045",11/01/2015  08:00,12/02/2015  12:05,"LARCENY-THEFT","32XX W LINCOLN ST","85009","GAS / SERVICE STATION"
"201800001499750",11/01/2015  08:00,05/31/2018  23:59,"RAPE","59XX W VILLA ST","85043","SINGLE FAMILY HOUSE"
